gene,n_paired_patients,tumour_mean,normal_mean,paired_diff,wilcoxon_p,fdr
PLK1,10,0.011079632825054092,0.002411645223782513,0.00866798760127158,0.0078125,0.017578125
ERO1A,10,0.3437655267277919,0.10577954180189439,0.23798598492589748,0.001953125,0.0087890625
KNL1,10,0.004559529669277228,0.0009372762961016394,0.003622253373175588,0.078125,0.087890625
DEPDC1B,10,0.005854729340691461,0.0006823298258692042,0.005172399514822257,0.109375,0.109375
TK1,10,0.09902477229005138,0.028067405932697125,0.07095736635735427,0.001953125,0.0087890625
DKK1,10,0.033111932731377344,0.004615833611066216,0.028496099120311136,0.01953125,0.03515625
C1QTNF6,10,0.02267523940308332,0.002935563326361302,0.019739676076722015,0.0078125,0.017578125
STEAP1,10,0.07120264043493049,0.007503160718300116,0.0636994797166304,0.02734375,0.03515625
ECT2,10,0.05488873803003397,0.025484767068093567,0.0294039709619404,0.02734375,0.03515625
