sample,origin,PLK1,ERO1A,KNL1,DEPDC1B,TK1,DKK1,C1QTNF6,STEAP1,ECT2,n_epi_cells,group
LUNG_N08,nLung,0.0,0.0926562397616395,0.0,0.0,0.026402511554804442,0.002223730305773856,0.0,0.00552608874465719,0.012836567196182473,299,normal_lung
LUNG_N09,nLung,0.0018088550558333864,0.1802560417499098,0.0,0.001679315882292123,0.03031862653114679,0.0,0.0,0.0060196878332070035,0.02874796646001634,384,normal_lung
LUNG_N18,nLung,0.0015165785746204033,0.07837247918464635,0.0,0.0,0.0396046619127221,0.019531087626185314,0.0019344873798665516,0.0061886331799003245,0.03159818267846523,399,normal_lung
LUNG_N19,nLung,0.0032807242815414,0.12363131090250352,0.003659922453820764,0.0033617167003202743,0.0380237013006567,0.0,0.0,0.010303981572499767,0.0346172891819713,174,normal_lung
LUNG_N20,nLung,0.007661000951386106,0.08991712597775106,0.002144360226059599,0.0,0.013380788475394095,0.006810965154390533,0.0020196570017594366,0.008325692374072343,0.011284165828614542,305,normal_lung
LUNG_N28,nLung,0.001111837919770675,0.1047947704923016,0.0,0.0,0.02671284548965918,0.0,0.005300562366791834,0.0,0.021705680130483112,233,normal_lung
LUNG_N30,nLung,0.0,0.10713714252803029,0.0022950756685969076,0.0,0.01899032621911588,0.002904561060944115,0.0021410110982340034,0.025182079602708296,0.047182607124687685,334,normal_lung
LUNG_N31,nLung,0.006518754304103288,0.09245424934000208,0.0,0.0017822656760796438,0.025898503367162286,0.00735949678996768,0.005027312499729138,0.004532427777912895,0.03440995317445162,548,normal_lung
LUNG_N34,nLung,0.0010154932385909015,0.12043157628803977,0.001273404612539125,0.0,0.020182792091114888,0.007328495173400651,0.0039047671472588765,0.005932449317290342,0.014608518580040954,650,normal_lung
LUNG_T06,tLung,0.0,0.2289407842628659,0.0,0.0,0.041693252897714354,0.0,0.010513570792378357,0.0704019591917839,0.04892016594477463,145,tumour_origin
LUNG_T08,tLung,0.0,0.2659159525738854,0.0,0.0,0.043937564436130484,0.01754180197345944,0.0,0.04547200260363266,0.0043530068428699045,42,tumour_origin
LUNG_T09,tLung,0.004646430568061462,0.2264439974396182,0.001883173361957699,0.0,0.043248014901532954,0.0036792118834042525,0.0,0.018299404652699806,0.04803924714273758,119,tumour_origin
LUNG_T18,tLung,0.026405387782785922,0.6273256184879459,0.015684849457951334,0.023141232064803608,0.2432794482086974,0.08580722177687439,0.05856170435257661,0.17318761453907452,0.06282242103271997,1028,tumour_origin
LUNG_T19,tLung,0.004621613805671915,0.15714191498481012,0.001370427896408199,0.0007588252871411629,0.05317717675248747,0.0034629466366588955,0.011831898918984084,0.008470159588820626,0.03430946607685365,316,tumour_origin
LUNG_T20,tLung,0.03139567347619786,0.64266600331614,0.008893663367836835,0.013639775875345143,0.15408126495864397,0.015269659140196009,0.02103941094816372,0.22819485127862632,0.11888221615234308,526,tumour_origin
