cell_type,gene,n_cells,mean_expr,pct_expressing
Endothelial cells,CD4,2107,0.022527190836906106,2.5628856193640246
Endothelial cells,CD68,2107,0.14592988650471142,11.627906976744185
Endothelial cells,CD79A,2107,0.01205274371832173,1.0915994304698624
Endothelial cells,CD8A,2107,0.02069496514585948,1.7085904129093499
Endothelial cells,CLDN5,2107,2.7202006701556183,92.69102990033223
Endothelial cells,COL1A1,2107,0.01780534212671418,1.8509729473184622
Endothelial cells,DCN,2107,0.07643830439074639,6.502135738016136
Endothelial cells,DEPDC1B,2107,0.0011929216626126833,0.23730422401518747
Endothelial cells,DKK1,2107,0.0,0.0
Endothelial cells,ECT2,2107,0.027165741789866974,2.895111532985287
Endothelial cells,EPCAM,2107,0.039602332101272196,4.034171808258187
Endothelial cells,ERO1A,2107,0.08838581577455337,9.06502135738016
Endothelial cells,FCGR3A,2107,0.07232135838770674,5.742762221167537
Endothelial cells,GNLY,2107,0.12771808693442827,8.16326530612245
Endothelial cells,KRT18,2107,0.19255019666833922,15.994304698623635
Endothelial cells,KRT19,2107,0.055716092708482386,4.556241101091599
Endothelial cells,LYZ,2107,0.35507854439929365,24.39487422876127
Endothelial cells,MARCO,2107,0.14454608617587397,9.824394874228762
Endothelial cells,MKI67,2107,0.004168614587818574,0.37968675842429994
Endothelial cells,MS4A1,2107,0.0032191879749506307,0.33222591362126247
Endothelial cells,MZB1,2107,0.020183663045146957,1.6611295681063125
Endothelial cells,NAPSA,2107,0.07721645408116525,6.4546748932131
Endothelial cells,NKG7,2107,0.19169467310206767,11.817750355956335
Endothelial cells,PECAM1,2107,1.7607574557239847,84.00569530137636
Endothelial cells,PLK1,2107,0.0019986483499880537,0.23730422401518747
Endothelial cells,PTPRC,2107,0.08149502156882896,6.786900806834362
Endothelial cells,SFTPC,2107,1.0238361308588084,57.19031798766018
Endothelial cells,STEAP1,2107,0.0029012349215090842,0.28476506881822494
Endothelial cells,TK1,2107,0.04624331531048985,3.559563360227812
Endothelial cells,TOP2A,2107,0.008081988207948908,0.7119126720455624
Endothelial cells,VWF,2107,1.7391349091733979,70.05220692928334
Epithelial cells,C1QTNF6,36467,0.03852514903987366,7.069405215674446
Epithelial cells,KNL1,36467,0.012604866447046002,2.550250911783256
Epithelial cells,CD14,36467,0.046312736930019555,8.20193599692873
Epithelial cells,CD3D,36467,0.028928448464926072,4.62335810458771
Epithelial cells,CD3E,36467,0.014680185112040655,2.3089368470123675
Epithelial cells,CD4,36467,0.013368823152974104,2.0977870403378396
Epithelial cells,CD68,36467,0.10264993106982553,15.364576192173745
Epithelial cells,CD79A,36467,0.015246577180813329,2.7230098445169606
Epithelial cells,CD8A,36467,0.007033741762361794,1.1681794499136204
Epithelial cells,CLDN5,36467,0.005479424613438563,0.9186387692982696
Epithelial cells,COL1A1,36467,0.3643890756922788,31.48600104203801
Epithelial cells,DCN,36467,0.033315618224801904,4.047494995475361
Epithelial cells,DEPDC1B,36467,0.010612778948309769,2.4103984424274
Epithelial cells,DKK1,36467,0.03658526942578188,4.809828063728851
Epithelial cells,ECT2,36467,0.06938144147599974,12.287821866344913
Epithelial cells,EPCAM,36467,1.4520759759630768,82.48553486714016
Epithelial cells,ERO1A,36467,0.5788751206505451,50.19880988290784
Epithelial cells,FCGR3A,36467,0.02889940305232547,4.34091096059451
Epithelial cells,GNLY,36467,0.08462743979674194,10.76041352455645
Epithelial cells,KRT18,36467,2.0703370540176844,90.04579482820084
Epithelial cells,KRT19,36467,2.1048089582729284,88.36756519593057
Epithelial cells,LYZ,36467,0.157928719722806,18.07661721556476
Epithelial cells,MARCO,36467,0.04177599413550791,5.3143938355225275
Epithelial cells,MKI67,36467,0.048625938740341774,6.688238681547701
Epithelial cells,MS4A1,36467,0.004227571718760666,0.7815285052239009
Epithelial cells,MZB1,36467,0.013627923978383976,2.1498889406860995
Epithelial cells,NAPSA,36467,1.599648026743916,72.97282474566046
Epithelial cells,NKG7,36467,0.056776627785999324,7.4752515973345774
Epithelial cells,PECAM1,36467,0.03890887410386946,6.501768722406559
Epithelial cells,PLK1,36467,0.027507020284983565,4.310746702498149
Epithelial cells,PTPRC,36467,0.021396577453115066,3.2248334110291497
Epithelial cells,SFTPC,36467,1.0147483107924196,24.408369210519098
Epithelial cells,STEAP1,36467,0.21079938460388672,26.667946362464694
Epithelial cells,TK1,36467,0.17526574093462224,19.294156360545152
Epithelial cells,TOP2A,36467,0.09075987305835417,10.368278169303755
Epithelial cells,VWF,36467,0.0045729644778358764,0.8692790742314971
Fibroblasts,C1QTNF6,3794,0.07602412886709053,9.462308908803374
Fibroblasts,KNL1,3794,0.001970690762769701,0.28993147074327885
Fibroblasts,CD14,3794,0.1889770384711757,17.474960463890355
Fibroblasts,CD3D,3794,0.05963772776202344,5.9567738534528205
Fibroblasts,CD3E,3794,0.03240740781642952,3.2419609910384817
Fibroblasts,CD4,3794,0.23684457694005057,24.433315761729048
Fibroblasts,CD68,3794,0.22072420085530747,23.062730627306273
Fibroblasts,CD79A,3794,0.018282303858542074,2.319451765946231
Fibroblasts,CD8A,3794,0.020010239091190204,1.8977332630469164
Fibroblasts,CLDN5,3794,0.009926064606811714,1.1333684765419083
Fibroblasts,COL1A1,3794,2.399005488515506,86.47865050079072
Fibroblasts,DCN,3794,4.1930808136392725,98.04955192409068
Fibroblasts,DEPDC1B,3794,0.002636713556926144,0.3953610964681075
Fibroblasts,DKK1,3794,0.01058862955114397,1.265155508697944
Fibroblasts,ECT2,3794,0.008055447575481177,1.3442277279915655
Fibroblasts,EPCAM,3794,0.04820514876738209,5.3241960991038475
Fibroblasts,ERO1A,3794,0.0877082674906842,10.648392198207695
Fibroblasts,FCGR3A,3794,0.05317814687750745,5.245123879810227
Fibroblasts,GNLY,3794,0.0811103380134539,7.4327886136004215
Fibroblasts,KRT18,3794,0.15563715481806262,11.72904586188719
Fibroblasts,KRT19,3794,0.11738084353416643,10.806536636794938
Fibroblasts,LYZ,3794,0.1857613728735414,18.081180811808117
Fibroblasts,MARCO,3794,0.05837824167858954,5.877701634159198
