cell_type,spearman_rho,p_value
Epithelial cells,0.37519387140239163,0.0
B lymphocytes,0.32883949861839523,0.0
Fibroblasts,0.191504946399484,0.0
Myeloid cells,0.14529458506261048,1.5036133419732792e-255
T/NK cells,0.11302496492531264,8.135737128753671e-155
Endothelial cells,-0.25649624040232916,0.0
MAST cells,-0.44214426152346403,0.0
