variable,coef,se,HR,HR_low,HR_high,p,nomogram_points_per_SD
risk_score_z,0.42947430546244264,0.06305280711591746,1.5364496080423231,1.3578340277495664,1.7385610831729743,9.669168633789781e-12,100.0
age_z,0.09239899907796656,0.07126759242577123,1.096802357916335,0.9538150616142712,1.2612250117909367,0.19480054810560665,21.514441702973265
stage_ord_z,0.4272318897515699,0.06186615414420602,1.5330081093797303,1.3579473085749687,1.730637005268067,4.9940607463619565e-12,99.47786964613442
male,0.08100346854159768,0.14109321999815813,1.0843746577588453,0.8223910701220697,1.429816593479153,0.565891256587778,18.86107446040946
