subset,n,events,HR,cox_p,c_index,logrank_p
all_adeno,106,77,1.025582784027711,0.7998853130501324,0.5398514354547279,0.25962908196036427
stageI,70,46,0.9161001067569093,0.5273208057429565,0.5045871559633027,0.2940148162520143
stageII+,36,31,1.4556922632289155,0.0470612939931046,0.5790349417637272,0.39780241070274447
