subtype,n,prog,MKI67,PLK1,ERO1A
Malignant cells,24784,0.16036348966219438,0.05965595373392434,0.03422668986660238,0.71590856703684
tS2,3018,0.1348124697246042,0.06300745130725426,0.027454735409105542,0.5817935837042448
tS1,3270,0.04141819892620135,0.007731952713128928,0.004015915781789001,0.24438380281106853
Club,439,0.02723653861512534,0.00796726882549536,0.005702268585387339,0.10826244920900653
Ciliated,654,0.024839191608154072,0.0006321941144759078,0.001252730672180119,0.11719634067663744
AT2,2020,0.01865653793911472,0.010669454473894294,0.002440639278005502,0.1122483820776054
AT1,530,0.01129001845916714,0.0,0.0,0.07143558751503767
